timestamp,cpu_usage,memory_usage,error_rate,events_per_second
2026-01-15 00:00:00,61.56,30.57,0.2816,1491
2026-01-15 01:00:00,21.63,66.04,0.1575,1295
2026-01-15 02:00:00,37.88,64.09,0.1985,1196
2026-01-15 03:00:00,34.51,56.85,0.1202,1334
2026-01-15 04:00:00,67.87,43.34,0.2522,1776
2026-01-15 05:00:00,63.99,62.05,0.2133,1721
2026-01-15 06:00:00,77.99,35.58,0.2741,1654
2026-01-15 07:00:00,25.65,51.74,0.0828,1276
2026-01-15 08:00:00,47.42,52.69,0.1802,1339
2026-01-15 09:00:00,21.94,77.69,0.1643,1040
2026-01-15 10:00:00,34.21,73.79,0.1292,1299
2026-01-15 11:00:00,52.85,43.17,0.237,1514
2026-01-15 12:00:00,21.72,55.03,0.1107,1037
2026-01-15 13:00:00,32.92,38.93,0.1411,1312
2026-01-15 14:00:00,62.24,75.63,0.2825,1529
2026-01-15 15:00:00,55.42,73.53,0.2658,1703
2026-01-15 16:00:00,34.33,44.92,0.1586,1270
2026-01-15 17:00:00,58.3,61.95,0.2467,1724
2026-01-15 18:00:00,72.61,60.45,0.2333,1578
2026-01-15 19:00:00,20.42,37.64,0.0909,1185
2026-01-15 20:00:00,72.38,68.13,0.314,1922
2026-01-15 21:00:00,65.38,56.97,0.2541,1739
2026-01-15 22:00:00,42.12,68.93,0.1806,1429
2026-01-15 23:00:00,30.11,56.52,0.1651,1418
2026-01-16 00:00:00,82.22,30.03,0.2524,2005
2026-01-16 01:00:00,41.88,46.21,0.1841,1297
2026-01-16 02:00:00,26.03,30.97,0.1284,1181
2026-01-16 03:00:00,26.29,76.45,0.1641,1145
2026-01-16 04:00:00,75.09,73.94,0.241,1640
2026-01-16 05:00:00,59.24,71.58,0.2738,1603
2026-01-16 06:00:00,72.46,45.38,0.2254,1536
2026-01-16 07:00:00,67.43,32.9,0.2209,1565
2026-01-16 08:00:00,54.85,73.9,0.2241,1725
2026-01-16 09:00:00,83.25,77.35,0.3173,1802
2026-01-16 10:00:00,44.6,34.28,0.1573,1646
2026-01-16 11:00:00,55.88,54.3,0.1796,1568
2026-01-16 12:00:00,73.91,33.46,0.3108,1881
2026-01-16 13:00:00,60.2,68.03,0.2052,1778
2026-01-16 14:00:00,76.01,68.29,0.2875,1687
2026-01-16 15:00:00,57.53,36.42,0.2345,1511
2026-01-16 16:00:00,65.8,53.76,0.2393,1538
2026-01-16 17:00:00,22.98,57.49,0.1273,1388
2026-01-16 18:00:00,34.81,43.25,0.1567,1203
2026-01-16 19:00:00,38.81,73.62,0.2099,1383
2026-01-16 20:00:00,25.19,51.16,0.096,1070
2026-01-16 21:00:00,35.13,40.59,0.177,1391
2026-01-16 22:00:00,26.57,56.96,0.1036,1178
2026-01-16 23:00:00,38.07,66.5,0.1538,1282
2026-01-17 00:00:00,61.32,40.06,0.2511,1648
2026-01-17 01:00:00,43.71,45.59,0.1611,1416
2026-01-17 02:00:00,44.06,79.76,0.1638,1396
2026-01-17 03:00:00,33.62,62.49,0.176,1252
2026-01-17 04:00:00,37.35,51.91,0.1193,1287
