order_id,user_id,product_id,order_date,amount
1,21,434,2023-10-09,2419.65
2,498,97,2023-08-25,2409.17
3,134,149,2023-10-12,1386.66
4,199,238,2023-10-28,118.36
5,639,265,2023-10-26,2388.76
6,935,276,2023-10-26,922.15
7,454,378,2023-12-09,1446.12
8,832,290,2023-11-25,2195.96
9,363,201,2023-04-14,838.38
10,131,91,2023-08-24,1761.06
11,470,96,2023-03-13,2349.55
12,310,369,2023-02-21,1005.34
13,396,401,2023-12-28,1445.96
14,789,63,2023-08-06,2142.14
15,802,491,2023-07-21,146.13
16,459,290,2023-10-20,1988.7
17,133,156,2023-02-24,30.0
18,741,351,2023-09-28,135.95
19,290,60,2023-10-25,910.67
20,187,168,2023-10-12,1472.98
21,198,245,2023-01-02,2138.29
22,626,237,2023-01-09,746.07
23,477,127,2023-05-22,2410.19
24,620,75,2023-06-26,2400.3
25,163,223,2023-09-11,1875.52
26,416,470,2023-02-13,1263.3
27,33,397,2023-06-22,2413.8
28,746,433,2023-04-14,1710.29
29,412,405,2023-05-09,557.09
30,897,291,2023-05-05,1461.98
31,130,127,2023-05-31,828.12
32,11,262,2023-02-19,223.73
33,689,350,2023-11-09,1821.59
34,474,395,2023-09-17,311.27
35,803,492,2023-04-02,325.9
36,989,333,2023-01-05,2459.27
37,77,54,2023-12-25,911.23
38,789,165,2023-07-15,2109.14
39,339,118,2023-01-23,1290.23
40,939,473,2023-04-03,1461.74
41,940,209,2023-02-17,866.49
42,105,5,2023-08-05,2113.1
43,16,109,2023-04-10,1790.26
44,130,386,2023-03-02,2095.09
45,484,411,2023-11-07,840.89
46,424,196,2023-10-09,252.41
47,613,465,2023-04-28,949.14
48,712,224,2023-12-14,2127.64
49,64,197,2023-10-27,196.42
50,560,373,2023-07-23,1301.95
51,445,1,2023-05-19,1523.48
52,830,141,2023-11-03,1816.02
53,994,153,2023-12-30,170.13
54,56,438,2023-04-05,1493.68
55,212,168,2023-06-23,731.95
56,150,283,2023-05-22,1568.34
57,36,287,2023-02-02,2411.46
58,276,174,2023-04-10,267.79
59,95,27,2023-12-24,2248.85
60,777,213,2023-04-21,743.24
61,869,368,2023-07-09,2455.82
62,751,123,2023-02-15,1801.71
63,63,144,2023-10-07,2043.32
64,720,176,2023-10-01,1688.15
65,457,76,2023-05-17,473.84
66,464,215,2023-11-09,1303.19
67,133,272,2023-08-30,1680.11
68,775,36,2023-01-29,427.05
69,4,312,2023-06-03,1533.2
70,334,221,2023-05-27,2390.47
71,565,384,2023-11-29,1053.82
72,167,394,2023-05-07,1883.95
73,648,264,2023-05-03,1981.66
74,684,304,2023-05-22,78.31
75,874,49,2023-05-06,1823.65
76,666,143,2023-09-03,1479.75
77,623,79,2023-03-07,133.23
78,630,39,2023-04-14,1916.47
79,673,52,2023-02-19,86.05
80,828,454,2023-11-23,1488.69
81,195,428,2023-12-18,349.36
82,16,290,2023-11-02,449.27
83,890,243,2023-07-20,2173.4
84,692,52,2023-05-05,875.49
85,969,5,2023-09-14,417.75
86,763,229,2023-07-17,975.25
87,38,454,2023-10-23,1553.25
88,180,492,2023-03-26,467.3
89,924,375,2023-09-16,644.26
90,489,202,2023-07-27,2283.47
91,972,285,2023-06-16,2178.61
92,486,46,2023-02-15,1042.84
93,404,404,2023-05-16,1312.82
94,480,70,2023-04-17,538.45
95,578,485,2023-04-30,1926.38
96,949,154,2023-05-07,288.58
97,558,487,2023-06-28,581.15
98,616,98,2023-08-20,2001.19
99,768,431,2023-12-25,1377.13
100,466,147,2023-04-08,1362.3
101,483,311,2023-06-16,1847.32
102,107,494,2023-05-16,2080.34
103,794,372,2023-10-03,1275.6
104,462,318,2023-12-25,1935.36
105,971,43,2023-08-07,2064.61
106,457,84,2023-05-04,217.96
107,381,22,2023-06-22,2394.98
108,466,409,2023-02-14,1559.25
109,917,393,2023-02-15,1924.57
110,621,145,2023-01-19,132.47
111,655,141,2023-09-30,1259.29
112,710,306,2023-04-04,1663.97
113,626,274,2023-03-15,2245.89
114,495,471,2023-04-07,1672.69
115,947,171,2023-04-10,795.52
116,958,155,2023-02-10,810.23
117,282,343,2023-02-09,998.27
118,805,255,2023-09-18,946.48
119,464,204,2023-12-24,590.71
120,880,129,2023-07-17,1197.1
121,69,331,2023-04-26,857.79
122,389,36,2023-02-17,1911.39
123,774,97,2023-09-01,972.46
124,572,362,2023-10-30,2200.44
125,750,380,2023-08-26,836.1
126,891,229,2023-10-30,311.01
127,685,133,2023-04-05,2257.15
128,622,462,2023-09-15,1228.51
129,688,67,2023-12-22,799.7
130,115,153,2023-03-24,575.0
131,18,242,2023-04-17,2001.07
132,812,177,2023-01-17,1032.27
133,898,64,2023-02-03,942.19
134,82,237,2023-09-22,855.35
135,940,108,2023-05-16,527.74
136,723,418,2023-07-21,1039.34
137,866,86,2023-10-27,291.71
138,500,65,2023-02-24,866.96
139,611,393,2023-04-25,1724.28
140,35,160,2023-09-19,1586.02
141,506,359,2023-06-06,1089.05
142,736,459,2023-12-17,1571.01
143,41,57,2023-02-22,1022.65
144,892,426,2023-12-20,983.83
145,74,385,2023-10-13,1742.82
146,967,278,2023-08-25,989.82
147,871,134,2023-10-24,1534.52
148,262,362,2023-08-25,1589.08
149,622,364,2023-07-02,1294.62
150,641,229,2023-01-03,1286.34
151,943,368,2023-09-14,1382.61
152,959,465,2023-11-20,440.67
153,54,181,2023-04-11,1298.96
154,89,390,2023-07-28,1518.91
155,196,87,2023-11-03,830.95
156,828,312,2023-02-23,1461.34
157,508,80,2023-12-02,1749.22
158,464,321,2023-05-18,117.8
159,712,163,2023-12-25,774.12
160,61,344,2023-01-15,1400.96
161,792,87,2023-02-10,2142.79
162,826,176,2023-07-31,2226.57
163,515,209,2023-01-26,588.15
164,638,449,2023-05-07,2125.64
165,265,419,2023-12-21,904.87
166,323,405,2023-06-04,2198.99
167,376,321,2023-04-27,2352.17
168,868,409,2023-08-12,1556.79
169,408,251,2023-12-23,1770.47
170,151,178,2023-12-04,1012.88
171,618,324,2023-04-12,547.17
172,998,447,2023-03-24,1645.49
173,715,239,2023-02-10,1933.98
174,311,481,2023-04-22,984.79
175,166,447,2023-08-24,2435.62
176,32,135,2023-11-01,1031.25
177,413,428,2023-08-18,511.27
178,146,150,2023-10-11,2436.01
179,936,434,2023-06-29,1997.58
180,130,50,2023-02-27,1624.33
181,787,129,2023-02-06,1151.27
182,128,21,2023-03-12,1499.32
183,250,111,2023-07-28,2280.66
184,240,216,2023-10-02,2416.29
185,827,95,2023-03-20,2132.28
186,619,122,2023-09-09,2008.65
187,859,279,2023-11-06,2210.13
188,263,237,2023-12-10,2076.25
189,511,95,2023-01-05,1779.59
190,327,221,2023-06-23,1326.72
191,455,413,2023-08-14,2130.19
192,362,216,2023-03-25,1396.63
193,435,227,2023-10-17,1561.57
194,841,313,2023-08-29,76.51
195,132,397,2023-10-30,2073.6
196,17,301,2023-05-11,1132.51
197,754,455,2023-04-06,1988.58
198,971,222,2023-01-17,1989.47
199,176,131,2023-07-21,1744.36
200,348,479,2023-07-03,2137.83
201,383,389,2023-12-27,867.34
202,858,34,2023-12-11,107.49
203,528,57,2023-04-15,2056.52
204,888,456,2023-11-04,2474.45
205,636,38,2023-07-21,129.55
206,620,381,2023-03-19,1554.03
207,10,37,2023-12-21,567.22
208,203,292,2023-04-20,2336.33
209,644,44,2023-06-11,131.4
210,170,185,2023-11-12,849.65
211,383,361,2023-05-23,1258.97
212,279,350,2023-01-02,2107.1
213,396,321,2023-05-11,86.29
214,299,397,2023-08-05,184.05
215,525,189,2023-08-19,332.17
216,515,330,2023-10-10,2001.94
217,489,363,2023-06-24,1957.29
218,681,194,2023-09-27,1325.04
219,433,140,2023-01-25,2034.07
220,776,491,2023-01-22,1104.54
221,416,114,2023-12-17,1533.03
222,420,321,2023-01-13,214.6
223,963,403,2023-11-06,2210.88
224,851,153,2023-03-02,1275.13
225,949,83,2023-11-29,2409.04
226,855,153,2023-10-15,1849.15
227,758,53,2023-02-02,1106.38
228,3,25,2023-11-08,2260.43
229,114,148,2023-06-23,2138.28
230,22,224,2023-02-28,534.42
231,26,336,2023-03-07,2138.3
232,704,74,2023-09-10,1783.73
233,221,166,2023-08-21,1261.83
234,759,415,2023-12-17,2480.89
235,266,327,2023-08-02,217.82
236,764,467,2023-09-18,2015.35
237,438,143,2023-02-02,2025.58
238,863,276,2023-12-24,2165.19
239,346,182,2023-03-10,1186.92
240,111,352,2023-11-26,937.27
241,406,188,2023-05-02,2149.61
242,34,57,2023-03-27,2412.12
243,579,106,2023-07-28,2253.93
244,505,61,2023-10-27,1249.19
245,458,460,2023-11-10,24.95
246,829,424,2023-06-25,1325.28
247,99,500,2023-02-14,1977.06
248,765,396,2023-07-09,2139.97
249,540,494,2023-12-04,1730.7
250,496,336,2023-07-04,433.47
251,838,193,2023-01-05,1215.87
252,218,202,2023-01-28,1853.15
253,704,342,2023-12-07,1389.38
254,544,493,2023-01-22,375.32
255,733,408,2023-05-27,664.36
256,669,212,2023-08-14,356.0
257,708,123,2023-07-27,2155.41
258,99,391,2023-12-27,1859.94
259,507,404,2023-05-20,1584.9
260,990,447,2023-02-25,43.39
261,269,284,2023-06-26,1950.28
262,306,222,2023-08-14,1974.42
263,41,101,2023-11-27,1623.88
264,431,144,2023-08-29,934.26
265,768,267,2023-06-22,492.21
266,777,295,2023-07-08,1291.58
267,123,155,2023-11-10,1822.62
268,179,123,2023-10-24,895.09
269,70,494,2023-12-30,1097.13
270,865,487,2023-03-18,2061.22
271,831,406,2023-07-08,2195.48
272,769,282,2023-09-20,226.28
273,422,372,2024-01-01,1949.18
274,527,303,2023-08-22,2048.28
275,459,482,2023-07-27,19.05
276,738,238,2023-10-22,1068.8
277,73,343,2023-04-23,1583.33
278,225,235,2023-01-15,1037.31
279,297,451,2023-09-20,2203.73
280,796,240,2023-10-01,1353.72
281,149,458,2023-05-28,628.41
282,459,305,2023-12-05,176.9
283,396,107,2023-11-07,1783.08
284,864,458,2023-12-31,1673.85
285,826,39,2023-04-09,1829.15
286,519,159,2023-05-27,2413.63
287,331,495,2023-04-23,1065.51
288,973,49,2023-04-10,1909.96
289,903,24,2023-04-17,1189.89
290,492,412,2023-10-09,546.07
291,189,490,2023-12-14,1088.33
292,763,169,2023-06-28,2381.58
293,89,417,2023-05-14,1151.13
294,45,449,2023-05-10,2160.34
295,575,57,2023-02-16,70.77
296,819,352,2023-05-17,2105.29
297,490,164,2023-11-20,1478.3
298,585,255,2023-07-17,1842.01
299,645,463,2023-11-16,1494.43
300,689,375,2023-05-14,458.63
301,271,291,2023-07-07,2252.68
302,581,142,2023-10-08,529.2
303,889,412,2023-03-06,1280.84
304,142,276,2023-08-24,1450.29
305,588,495,2023-03-19,1934.59
306,262,481,2023-01-29,710.18
307,903,96,2023-08-17,2326.92
308,489,56,2023-11-07,1873.88
309,794,55,2023-04-18,209.61
310,248,435,2023-09-15,59.7
311,905,13,2023-09-19,1714.43
312,570,249,2023-04-25,884.58
313,533,405,2023-12-03,1454.06
314,715,342,2023-12-10,1647.04
315,234,195,2023-03-20,1701.67
316,125,142,2023-04-09,1043.23
317,304,237,2023-03-17,1168.03
318,408,451,2023-08-19,1475.09
319,295,132,2023-03-25,1305.48
320,441,410,2023-06-29,669.34
321,258,417,2023-10-15,947.68
322,550,40,2023-09-07,238.43
323,943,456,2023-06-15,115.96
324,270,327,2023-02-18,1384.12
325,196,221,2023-08-09,1692.07
326,491,237,2023-08-29,44.08
327,546,305,2023-01-16,1776.32
328,47,183,2023-04-23,387.69
329,818,356,2023-10-12,995.78
330,66,265,2023-11-03,774.08
331,636,2,2023-03-31,133.39
332,135,81,2023-03-26,1097.06
333,807,86,2023-05-21,168.41
334,13,134,2023-09-06,886.44
335,487,375,2023-03-16,911.8
336,901,438,2023-09-21,1196.32
337,524,421,2023-12-10,2093.09
338,675,37,2023-01-10,1725.36
339,77,265,2023-07-06,83.24
340,456,222,2023-04-12,2337.92
341,151,322,2023-12-11,1553.38
342,413,305,2023-03-31,116.89
343,671,184,2023-10-21,723.38
344,819,436,2023-04-05,679.08
345,33,155,2023-01-30,1761.2
346,245,274,2023-02-09,852.86
347,309,80,2023-11-28,1385.58
348,429,488,2023-07-07,544.28
349,296,369,2023-03-04,1577.24
350,663,472,2023-10-25,1243.96
351,936,311,2023-04-17,409.73
352,587,315,2023-06-13,505.74
353,531,39,2023-02-28,2089.21
354,669,143,2023-04-18,1089.41
355,939,151,2023-05-22,1630.77
356,902,267,2023-06-11,1064.42
357,701,278,2023-09-26,874.1
358,463,379,2023-01-11,2100.53
359,255,241,2023-02-05,1800.41
360,84,129,2023-06-18,2429.94
361,984,496,2023-10-31,313.23
362,26,355,2023-01-24,1285.41
363,834,260,2023-02-11,1360.87
364,359,253,2023-09-22,94.91
365,125,111,2023-04-23,1543.8
366,765,336,2023-12-01,564.42
367,202,406,2023-03-03,2292.22
368,959,216,2023-04-30,309.95
369,66,124,2023-02-09,331.04
370,928,259,2023-05-27,1311.5
371,490,61,2023-04-22,568.13
372,331,135,2023-04-28,2403.03
373,18,107,2023-04-29,549.77
374,680,165,2023-05-18,952.11
375,547,273,2023-07-07,1392.37
376,520,254,2023-05-08,1302.43
377,405,135,2023-12-26,851.75
378,604,261,2023-02-27,953.2
379,220,227,2023-09-30,506.67
380,941,113,2023-12-22,338.78
381,269,244,2023-02-10,1268.87
382,484,239,2023-03-18,1872.21
383,591,271,2023-09-21,1613.42
384,597,272,2023-04-08,529.45
385,45,161,2023-06-28,307.8
386,667,141,2023-06-20,1913.52
387,558,497,2023-04-22,2081.88
388,838,72,2023-08-21,2189.55
389,801,168,2023-11-11,1925.13
390,597,121,2023-09-02,840.25
391,952,476,2023-08-19,1040.16
392,80,480,2023-05-07,1149.23
393,858,32,2023-05-23,1152.93
394,8,48,2023-07-27,75.91
395,615,133,2023-07-03,1926.31
396,204,166,2023-07-26,1990.61
397,422,421,2023-06-12,873.86
398,790,282,2023-09-23,1715.4
399,586,201,2023-01-07,1631.3
400,567,382,2023-11-22,473.03
401,655,168,2023-10-30,2275.61
402,626,254,2023-09-14,426.69
403,477,328,2023-02-21,842.05
404,590,440,2023-06-22,2201.72
405,122,199,2023-09-17,1304.75
406,24,250,2023-03-24,1389.71
407,404,108,2023-08-26,275.58
408,351,12,2023-07-15,933.21
409,855,40,2023-01-04,1631.96
410,663,459,2023-08-22,337.41
411,519,314,2023-05-18,1257.79
412,97,18,2023-09-03,2006.89
413,874,475,2023-12-31,943.29
414,352,169,2023-09-05,775.67
415,299,326,2023-03-01,1701.13
416,263,166,2023-08-21,1038.23
